exit_any,sector_grp,years_since_first_investment,flag_founding_pre2000,first_round_syndicate_size,first_round_foreign_investor_share,first_round_corporate_vc_flag,first_round_late_stage_pe_flag,first_round_investor_experience_mean,log_investor_experience_mean
0,Other,8.295687885010267,1,2,0.5,0,1,7.0,2.0794415416798357
0,Consumer Products,0.26283367556468173,0,1,0.0,0,0,2939.6153846153848,7.986374152924534
0,Other,2.2340862422997945,0,4,0.0,0,0,63.0,4.1588830833596715
0,Software,2.3846680355920604,0,7,0.4285714285714285,0,0,79.57142857142857,4.389144102442746
0,Other,1.8562628336755647,1,1,0.0,0,1,35.0,3.58351893845611
1,Other,0.2299794661190965,0,1,0.0,0,0,12.0,2.5649493574615367
0,Internet,3.79192334017796,0,2,0.5,0,0,12758.0,9.453992183921743
0,Other,5.100616016427105,0,4,1.0,0,0,57.75,4.073291153024268
0,Other,4.563997262149213,0,2,0.5,0,0,1380.3333333333333,7.230804495271209
0,Healthcare,9.160848733744011,0,1,0.0,0,1,3.0,1.3862943611198906
0,Other,4.895277207392197,0,2,0.0,0,0,22.5,3.1570004211501135
0,Medical Devices & Equipment,8.914442162902121,0,1,0.0,0,0,5.0,1.791759469228055
0,Software,9.475701574264203,0,1,1.0,1,0,312.0,5.746203190540153
0,Software,5.916495550992471,0,4,0.5,0,0,930.0,6.836259277277067
1,Financial Services,3.7672826830937716,0,1,0.0,0,0,248.0,5.517452896464707
0,Business Support Services,4.380561259411362,0,4,0.25,1,0,3915.6,8.272979209482736
0,Internet,8.084873374401095,0,3,0.0,0,0,1073.0,6.97914527506881
0,Financial Services,4.7939767282683095,0,3,1.0,0,0,8638.166666666666,9.064061406529158
0,Internet,3.9452429842573578,0,4,0.25,0,0,18876.545454545456,9.845728423543598
0,Healthcare IT,6.8172484599589325,0,4,0.25,0,0,11746.0,9.371353167823885
0,Consumer Products,0.15331964407939766,0,1,0.0,0,0,3099.0,8.039157390473237
0,Software,1.160848733744011,0,3,0.0,0,0,555.0,6.320768294250582
0,Other,4.741957563312799,0,2,1.0,0,0,23428.5,10.061751191111952
1,"Automobiles, Other Vehicles & Parts",3.6030116358658453,0,1,0.0,0,0,69.0,4.248495242049359
0,Software,1.9767282683093772,0,1,1.0,0,0,26424.666666666668,10.182091039054702
0,Retail,9.845311430527037,0,2,1.0,0,0,10431.6,9.252690797849914
0,Consumer Products,3.8466803559206024,0,3,0.6666666666666666,0,1,4926.25,8.502536302072604
1,Financial Services,2.973305954825462,0,2,0.5,0,0,6519.0,8.782629654920699
0,Software,2.8966461327857633,0,6,1.0,0,0,8411.444444444445,9.03746737000184
1,Healthcare,2.080766598220397,0,1,1.0,0,0,4833.333333333333,8.48349851489214
0,Internet,8.733744010951403,0,2,0.0,0,0,1439.0,7.272398392570047
0,Consumer Products,5.749486652977413,1,1,0.0,0,1,13.0,2.6390573296152584
0,Financial Services,8.580424366872005,0,2,0.5,0,0,2297.5,7.740012015246283
0,Other,3.2908966461327855,0,2,0.5,0,0,5886.0,8.68050180902826
0,Consumer Products,9.475701574264203,0,3,0.6666666666666666,0,1,394.0,5.978885764901122
0,Other,1.51129363449692,0,3,0.0,0,0,43.0,3.784189633918261
0,Consumer Products,6.272416153319644,0,6,0.3333333333333333,0,0,211.66666666666663,5.35972599467668
0,Other,5.604380561259411,0,6,0.1666666666666666,0,0,706.875,6.562267524433969
0,Software,1.3908281998631074,0,3,0.3333333333333333,0,0,13756.5,9.529339408933915
0,Consumer Products,0.8843258042436687,0,4,0.25,0,0,3188.125,8.06750186348238
0,Education/Training,9.686516084873375,0,1,1.0,0,0,4363.0,8.381144346952961
0,Software,2.3436002737850785,0,4,0.0,0,0,7444.285714285715,8.91533632104873
0,Consumer Products,3.728952772073922,0,1,1.0,0,0,53.0,3.9889840465642745
0,Consumer Products,3.19233401779603,0,1,0.0,0,0,210.0,5.351858133476067
